MachineGuid: 92c250e0-8dc2-45ce-b6e8-3537499d3238
[2025-09-29 14:22:01] 打开了主程序
[2025-09-29 14:22:02] 打开主程序成功
[2025-09-29 14:30:23] 打开了主程序
[2025-09-29 14:30:25] 打开主程序成功
[2025-09-29 14:32:07] 关闭程序
[2025-09-29 14:32:07] 关闭程序成功
[2025-09-29 14:32:24] 打开了主程序
[2025-09-29 14:32:26] 打开主程序成功
[2025-09-29 14:33:42] 触发了录制行为
[2025-09-29 14:33:42] 开始全屏录制
[2025-09-29 14:34:05] 打开了主程序
[2025-09-29 14:34:06] 打开主程序成功
[2025-09-29 14:34:08] 触发了录制行为
[2025-09-29 14:34:08] 开始全屏录制
[2025-09-29 14:34:16] 录制完成且成功
[2025-09-29 14:34:46] 关闭程序
[2025-09-29 14:34:46] 关闭程序成功
[2025-09-29 14:52:23] 打开了主程序
[2025-09-29 14:52:37] 关闭程序
[2025-09-29 14:52:37] 关闭程序成功
[2025-09-29 14:53:55] 打开了主程序
[2025-09-29 14:53:57] 打开主程序成功
[2025-09-29 14:54:34] 打开了主程序
[2025-09-29 14:54:36] 打开主程序成功
[2025-09-29 14:54:51] 关闭程序
[2025-09-29 14:54:51] 关闭程序成功
[2025-09-29 17:20:08] 打开了主程序
[2025-09-29 17:20:35] 打开了主程序
[2025-09-29 17:20:37] 打开主程序成功
[2025-09-29 17:20:40] 关闭程序
[2025-09-29 17:20:40] 关闭程序成功
[2025-09-29 17:21:32] 打开了主程序
[2025-09-29 17:21:33] 打开主程序成功
[2025-09-29 17:23:41] 打开了主程序
[2025-09-29 17:23:43] 打开主程序成功
[2025-09-29 17:26:57] 打开了主程序
[2025-09-29 17:26:59] 打开主程序成功
[2025-09-29 17:27:40] 打开了主程序
[2025-09-29 17:27:41] 打开主程序成功
[2025-09-29 17:30:56] 打开了主程序
[2025-09-29 17:30:58] 打开主程序成功
[2025-09-29 17:31:43] 打开了主程序
[2025-09-29 17:31:44] 打开主程序成功
[2025-09-29 17:33:51] 打开了主程序
[2025-09-29 17:33:53] 打开主程序成功
[2025-09-29 17:35:23] 打开了主程序
[2025-09-29 17:35:24] 打开主程序成功
[2025-09-29 17:37:59] 打开了主程序
[2025-09-29 17:38:01] 打开主程序成功
[2025-09-29 18:08:45] 打开了主程序
[2025-09-29 18:09:05] 打开了主程序
[2025-09-29 18:09:07] 打开主程序成功
[2025-09-29 18:12:24] 关闭程序
[2025-09-29 18:12:24] 关闭程序成功
[2025-09-29 18:12:30] 打开了主程序
[2025-09-29 18:12:31] 打开主程序成功
[2025-09-29 18:15:49] 关闭程序
[2025-09-29 18:15:50] 关闭程序成功
[2025-09-29 18:15:51] 打开了主程序
[2025-09-29 18:15:53] 打开主程序成功
[2025-09-29 18:20:35] 打开了主程序
[2025-09-29 18:22:42] 打开了主程序
[2025-09-29 18:23:04] 打开了主程序
[2025-09-29 18:24:04] 打开了主程序
[2025-09-29 18:24:05] 打开主程序成功
[2025-09-29 18:26:37] 打开了主程序
[2025-09-29 18:27:33] 打开了主程序
[2025-09-29 18:27:35] 打开主程序成功
[2025-09-29 18:28:10] 关闭程序
[2025-09-29 18:28:10] 关闭程序成功
[2025-09-29 18:28:59] 打开了主程序
[2025-09-29 18:29:00] 打开主程序成功
[2025-09-29 18:30:17] 关闭程序
[2025-09-29 18:30:17] 关闭程序成功
[2025-09-29 18:30:20] 打开了主程序
[2025-09-29 18:30:34] 打开主程序成功
[2025-09-29 18:31:01] 关闭程序
[2025-09-29 18:31:01] 关闭程序成功
[2025-09-29 18:31:18] 打开了主程序
[2025-09-29 18:32:36] 打开了主程序
[2025-09-29 18:33:34] 打开了主程序
[2025-09-29 18:35:07] 打开了主程序
[2025-09-29 18:35:47] 打开了主程序
[2025-09-29 18:36:16] 打开了主程序
[2025-10-03 11:26:08] 打开了主程序
[2025-10-03 11:26:10] 打开主程序成功
[2025-10-03 11:26:23] 关闭程序
[2025-10-03 11:26:23] 关闭程序成功
[2025-10-03 11:33:03] 打开了主程序
[2025-10-03 11:33:04] 打开主程序成功
[2025-10-03 11:33:09] 关闭程序
[2025-10-03 11:33:09] 关闭程序成功
[2025-10-03 11:33:11] 打开了主程序
[2025-10-03 11:33:12] 打开主程序成功
[2025-10-03 11:34:10] 打开VIP界面
[2025-10-03 11:34:10] 打开VIP界面成功
[2025-10-03 11:34:10] 支付开始轮询
[2025-10-03 11:34:15] 选择套餐信息：[id]4 [price]128 [name]:一年会员
[2025-10-03 11:34:16] 选择套餐信息：[id]3 [price]78 [name]:半年会员
[2025-10-03 11:34:16] 选择套餐信息：[id]2 [price]48 [name]:季度会员
[2025-10-03 11:34:17] 选择套餐信息：[id]1 [price]30 [name]:包月会员
[2025-10-03 11:34:19] 选择套餐信息：[id]3 [price]78 [name]:半年会员
[2025-10-03 11:34:20] 选择套餐信息：[id]4 [price]128 [name]:一年会员
[2025-10-03 11:34:21] 选择套餐信息：[id]1 [price]30 [name]:包月会员
[2025-10-03 11:34:36] 选择套餐信息：[id]2 [price]48 [name]:季度会员
[2025-10-03 11:34:37] 选择套餐信息：[id]3 [price]78 [name]:半年会员
[2025-10-03 11:34:39] 选择套餐信息：[id]4 [price]128 [name]:一年会员
[2025-10-03 11:34:41] 关闭VIP界面
[2025-10-03 11:34:47] 关闭程序
[2025-10-03 11:34:47] 关闭程序成功
[2025-10-03 11:34:48] 打开了主程序
[2025-10-03 11:34:50] 打开主程序成功
[2025-10-03 11:34:53] 关闭程序
[2025-10-03 11:34:53] 关闭程序成功
[2025-10-03 11:35:38] 打开了主程序
[2025-10-03 11:35:39] 打开主程序成功
[2025-10-03 11:35:40] 打开VIP界面
[2025-10-03 11:35:40] 打开VIP界面成功
[2025-10-03 11:35:40] 支付开始轮询
[2025-10-03 11:35:42] 打开低价套餐界面
[2025-10-03 11:35:47] 关闭打开低价套餐界面
[2025-10-03 11:35:47] 关闭VIP界面
[2025-10-03 11:35:48] 打开VIP界面
[2025-10-03 11:35:48] 打开VIP界面成功
[2025-10-03 11:35:48] 支付开始轮询
[2025-10-03 11:35:49] 关闭VIP界面
[2025-10-03 11:36:03] 关闭程序
[2025-10-03 11:36:03] 关闭程序成功
[2025-10-03 11:37:16] 打开了主程序
[2025-10-03 11:37:17] 打开主程序成功
[2025-10-03 11:37:23] 关闭程序
[2025-10-03 11:37:23] 关闭程序成功
[2025-10-03 11:37:24] 打开了主程序
[2025-10-03 11:37:25] 打开主程序成功
[2025-10-03 11:39:59] 打开了主程序
[2025-10-03 11:40:00] 打开主程序成功
[2025-10-03 11:40:09] 关闭程序
[2025-10-03 11:40:09] 关闭程序成功
[2025-10-03 11:40:11] 打开了主程序
[2025-10-03 11:40:12] 打开主程序成功
[2025-10-03 11:40:47] 打开VIP界面
[2025-10-03 11:40:47] 打开VIP界面成功
[2025-10-03 11:40:47] 支付开始轮询
[2025-10-03 11:40:49] 选择套餐信息：[id]2 [price]48 [name]:季度会员
[2025-10-03 11:41:00] 打开低价套餐界面
[2025-10-03 11:41:01] 关闭打开低价套餐界面
[2025-10-03 11:41:01] 关闭VIP界面
[2025-10-03 11:41:02] 关闭程序
[2025-10-03 11:41:02] 关闭程序成功
[2025-10-03 11:41:09] 打开了主程序
[2025-10-03 11:41:10] 打开主程序成功
[2025-10-03 11:41:11] 打开VIP界面
[2025-10-03 11:41:11] 打开VIP界面成功
[2025-10-03 11:41:11] 支付开始轮询
[2025-10-03 11:42:24] 打开了主程序
[2025-10-03 11:42:33] 打开主程序成功
[2025-10-03 11:42:34] 打开VIP界面
[2025-10-03 11:42:34] 打开VIP界面成功
[2025-10-03 11:42:34] 支付开始轮询
[2025-10-03 11:44:12] 打开了主程序
[2025-10-03 11:44:16] 打开主程序成功
[2025-10-03 11:44:19] 打开VIP界面
[2025-10-03 11:44:19] 打开VIP界面成功
[2025-10-03 11:44:19] 支付开始轮询
[2025-10-03 11:44:28] 选择套餐信息：[id]2 [price]48 [name]:季度会员
[2025-10-03 11:44:29] 选择套餐信息：[id]3 [price]78 [name]:半年会员
[2025-10-03 11:44:29] 选择套餐信息：[id]4 [price]128 [name]:一年会员
[2025-10-03 11:44:30] 关闭VIP界面
[2025-10-03 11:44:32] 关闭程序
[2025-10-03 11:44:32] 关闭程序成功
