MachineGuid: 92c250e0-8dc2-45ce-b6e8-3537499d3238
[2025-10-05 11:29:28] 打开了主程序
[2025-10-05 11:29:32] 打开主程序成功
[2025-10-05 11:29:34] 关闭程序
[2025-10-05 11:29:34] 关闭程序成功
[2025-10-05 11:29:47] 打开了主程序
[2025-10-05 11:29:50] 打开主程序成功
[2025-10-05 11:29:55] 关闭程序
[2025-10-05 11:29:55] 关闭程序成功
[2025-10-05 11:30:14] 打开了主程序
[2025-10-05 11:30:16] 打开主程序成功
[2025-10-05 11:30:18] 关闭程序
[2025-10-05 11:30:18] 关闭程序成功
[2025-10-05 11:30:23] 打开了主程序
[2025-10-05 11:30:25] 打开主程序成功
[2025-10-05 11:30:33] 关闭程序
[2025-10-05 11:30:33] 关闭程序成功
[2025-10-05 11:32:26] 打开了主程序
[2025-10-05 11:32:28] 打开主程序成功
[2025-10-05 11:32:38] 关闭程序
[2025-10-05 11:32:38] 关闭程序成功
[2025-10-05 11:33:24] 打开了主程序
[2025-10-05 11:33:27] 打开主程序成功
[2025-10-05 11:33:32] 触发了录制行为
[2025-10-05 11:33:33] 开始全屏录制
[2025-10-05 11:33:46] 录制完成且成功
[2025-10-05 11:34:14] 录制完成且成功
[2025-10-05 11:34:32] 触发了录制行为
[2025-10-05 11:34:33] 开始窗口录制
[2025-10-05 11:34:46] 窗口录制成功
[2025-10-05 11:35:00] 打开VIP界面
[2025-10-05 11:35:00] 打开VIP界面成功
[2025-10-05 11:35:00] 支付开始轮询
[2025-10-05 11:35:05] 关闭VIP界面
[2025-10-05 11:35:13] 触发了录制行为
[2025-10-05 11:35:13] 开始跟随鼠标录制
[2025-10-05 11:35:25] 录制完成且成功
[2025-10-05 11:35:38] 触发了录制行为
[2025-10-05 11:35:43] 开始摄像头录制
[2025-10-05 11:35:43] 开启了摄像头预览（摄像头录制UI）
[2025-10-05 11:35:43] 开启摄像头预览成功（摄像头录制UI）
[2025-10-05 11:35:52] 摄像头录制成功
[2025-10-05 11:36:11] 触发了录制行为
[2025-10-05 11:36:12] 开始纯音频录制
[2025-10-05 11:36:30] 录制完成且成功
[2025-10-05 11:36:40] 关闭程序
[2025-10-05 11:36:41] 关闭程序成功
